"","rank","port","economy","lon","lat","port_label","year","volume"
"110",10,"Tianjin","China",117.200983,39.084158,"Tianjin","2012[3]","12,300"
"111",11,"Rotterdam","Netherlands",4.4777325,51.9244201,"Rotterdam","2012[3]","11,866"
"112",12,"Port Klang","Malaysia",101.39283,2.999852,"Port Klang","2012[3]","10,000"
"113",13,"Kaohsiung","Taiwan",120.3014353,22.6272784,"Kaohsiung","2012[3]","9,781"
"114",14,"Dalian","China",121.614682,38.914003,"Dalian","2012[3]","8,060"
"115",15,"Hamburg","Germany",9.9936818,53.5510846,"Hamburg","2012[3]","8,864"
"116",16,"Antwerp","Belgium",4.4024643,51.2194475,"Antwerp","2012[3]","8,635"
"117",17,"Xiamen","China",118.089425,24.479834,"Xiamen","2012[3]","7,202"
"118",18,"Los Angeles","United States",-118.2436849,34.0522342,"Los Angeles","2012[3]","8,078"
"119",19,"Tanjung Pelepas","Malaysia",103.551035,1.362374,"Tanjung Pelepas","2012[3]","7,700"
"120",20,"Long Beach","United States",-118.1937395,33.7700504,"Long Beach","2012[3]","6,046"
"121",21,"Laem Chabang","Thailand",100.9158073,13.1040552,"Laem Chabang","2012[3]","5,830"
"122",22,"Ho Chi Minh City (Saigon)","Vietnam",106.6296638,10.8230989,"Saigon","2012[3]","5,060"
"123",23,"Bremen/Bremerhaven","Germany",8.5809424,53.5395845,"Bremen","2012[3]","6,115"
"124",24,"New York and New Jersey","United States",-74.0059413,40.7127837,"New York","2012[3]","5,530"
"125",25,"Yingkou","China",122.108231,40.266062,"Yingkou","2012[3]","4,851"
"126",26,"Tanjung Priok (Jakarta)","Indonesia",106.8714848,-6.1320555,"Jakarta","2012[3]","6,200"
"127",27,"Lianyungang","China",119.221611,34.596653,"Lianyungang","2012[3]","5,020"
"128",28,"Tokyo","Japan",139.6917064,35.6894875,"Tokyo","2012[3]","4,752"
"129",29,"Mumbai","India",72.8776559,19.0759837,"Mumbai","2012[3]","4,260"
"130",30,"Algeciras","Spain",-5.456233,36.1407591,"Algeciras","2012[3]","4,114"
"131",31,"Valencia","Spain",-0.3762881,39.46991,"Valencia","2012[3]","4,470"
"132",32,"Khor Fakkan","United Arab Emirates",56.3432629,25.3365669,"Khor Fakkan","2012[3]","3,996"
"133",33,"Jeddah","Saudi Arabia",39.2375507,21.2854067,"Jeddah","2012[3]","4,738"
